C:\PCS\PCS64e\Curves\2022'12'26-17'12'20-TupyS-1_3.s2k.out																	
C:\PCS\PCS64e\Curves\2022'12'26-21'10'11-TupyS-1_1.s2k.out																	
tick	time	temp	der	der2	der3	power	powder	quality	q-der	q-der2	q-der3	q-pow	q-powder	q-ToTAN	q-ToTBP	P-ratio	Wiggle
																	
C:\PCS\PCS64e\Curves\2022'12'26-21'06'47-TupyS-1_3.s2k.out																	
tick	time	temp	der	der2	der3	power	powder	quality	q-der	q-der2	q-der3	q-pow	q-powder	q-ToTAN	q-ToTBP	P-ratio	Wiggle
PUP	96.9886	1146.98	-0.31042	0.00847756	-0.00247873	0.556588	0.00662894	0.0319227	-0.0604197	0	0.704255	0.0263527	0.174212	-0.030436	-0.362875	0.0205327	-0.439699
DN	107.545	1143.92	-0.259914	0	-0.00225238	0.701663	0.0182559	2.08803	-0.898708	0	2.69905	1.50832	-0.619196	0.102996	-0.887634	0.183205	0
PUP	116.819	1141.09	-0.40438	-0.0174984	0.00236274	0.772674	0.00103658	3.32346	-0.15438	0	0.727453	0.890698	1.29268	-0.000991629	0.0504373	0.677641	-0.160081
																	
C:\PCS\PCS64e\Curves\2022'12'26-21'15'53-TupyS-1_2.s2k.out																	
tick	time	temp	der	der2	der3	power	powder	quality	q-der	q-der2	q-der3	q-pow	q-powder	q-ToTAN	q-ToTBP	P-ratio	Wiggle
																	
C:\PCS\PCS64e\Curves\2022'12'26-21'21'11-TupyS-1_3.s2k.out																	
tick	time	temp	der	der2	der3	power	powder	quality	q-der	q-der2	q-der3	q-pow	q-powder	q-ToTAN	q-ToTBP	P-ratio	Wiggle
PUP	99.281	1146.59	-0.335352	0.00198851	-0.0014675	0.554943	0.000701397	1.65845	-0.0853519	0	0.906499	0.0197709	1.35972	-0.0301932	-0.386903	-0.0202903	-0.104804
DN	113.472	1142.14	-0.270378	0	-0.00381529	0.722645	0.0185165	2.4471	-1.05566	0	2.07388	1.61323	-0.638735	-0.0411721	0.287759	0.207802	0
PUP	119.773	1140.25	-0.355594	-0.0142485	0.00116372	0.786348	0.007784	2.08829	-0.105594	0	0.967256	0.945392	-0.0567993	0.00152279	0.099056	0.696395	-0.458934
																	
C:\PCS\PCS64e\Curves\2022'12'26-21'28'23-TupyS-1_1.s2k.out																	
tick	time	temp	der	der2	der3	power	powder	quality	q-der	q-der2	q-der3	q-pow	q-powder	q-ToTAN	q-ToTBP	P-ratio	Wiggle
																	
C:\PCS\PCS64e\Curves\2022'12'27-01'08'17-TupyS-1_1.s2k.out																	
tick	time	temp	der	der2	der3	power	powder	quality	q-der	q-der2	q-der3	q-pow	q-powder	q-ToTAN	q-ToTBP	P-ratio	Wiggle
DN	96.2821	1147.28	-0.374992	0	-0.00382559	0.488434	-0.00226961	-2.8756	-2.62487	0	2.06977	0.442169	0.579779	0.511421	-3.43947	-0.414386	0
DN	117.768	1139.79	-0.24882	0	-0.00364856	0.792549	0.0198677	5.30491	-0.732299	0	2.14058	1.96275	-0.740077	-0.237533	2.59109	0.320411	0
PUP	123.4	1138.28	-0.299665	-0.00598404	0.00119569	0.862298	0.011188	2.24793	-0.0496648	0	0.960863	1.24919	-0.737608	0.00940893	0.299888	0.757453	-0.241599
																	
C:\PCS\PCS64e\Curves\2022'12'27-01'18'02-TupyS-1_3.s2k.out																	
tick	time	temp	der	der2	der3	power	powder	quality	q-der	q-der2	q-der3	q-pow	q-powder	q-ToTAN	q-ToTBP	P-ratio	Wiggle
DN	110.827	1141.49	-0.246385	0	-0.00277469	0.741546	0.0150279	3.63282	-0.695782	0	2.49012	1.70773	-0.377095	-0.14668	0.4763	0.178226	0
PUP	116.469	1140	-0.305806	-0.0139074	0.00014685	0.795392	0.00775699	2.24984	-0.055806	0	1.17063	0.981568	-0.0513977	0.00479495	0.0857802	0.661976	-0.547702
																	
C:\PCS\PCS64e\Curves\2022'12'27-01'14'38-TupyS-1_2.s2k.out																	
tick	time	temp	der	der2	der3	power	powder	quality	q-der	q-der2	q-der3	q-pow	q-powder	q-ToTAN	q-ToTBP	P-ratio	Wiggle
DN	111.16	1141.11	-0.266768	0	-0.00211155	0.90773	0.0244196	3.54798	-1.00153	0	2.75538	2.53865	-1.08147	-0.102695	-0.0132311	0.452872	0
PUP	120.429	1138.3	-0.378861	-0.00618274	0.0043699	1.02751	0.00592365	3.37747	-0.128861	0	0.326021	1.91003	0.315271	0.00918936	0.0814797	0.892061	-0.0277132
																	
C:\PCS\PCS64e\Curves\2022'12'27-01'24'14-TupyS-1_4.s2k.out																	
tick	time	temp	der	der2	der3	power	powder	quality	q-der	q-der2	q-der3	q-pow	q-powder	q-ToTAN	q-ToTBP	P-ratio	Wiggle
PUP	97.3042	1147.61	-0.359357	0.00411988	-0.000747203	0.562478	0.000257259	2.26233	-0.109357	0	1.05056	0.0499131	1.44855	-0.0234027	-0.222872	0.0426209	0.0263233
DN	115.131	1142.36	-0.226088	0	-0.00331641	0.791643	0.0219047	2.63987	-0.391323	0	2.27344	1.95822	-0.892852	-0.256479	-0.366727	0.315598	0
PUP	121.1	1140.88	-0.287835	-0.00916142	0.00141585	0.887454	0.0144335	0.986671	-0.0378349	0	0.91683	1.34982	-1.38671	0.0102586	-0.00301382	0.819812	-0.682491
																	
C:\PCS\PCS64e\Curves\2022'12'27-01'19'32-TupyS-1_2.s2k.out																	
tick	time	temp	der	der2	der3	power	powder	quality	q-der	q-der2	q-der3	q-pow	q-powder	q-ToTAN	q-ToTBP	P-ratio	Wiggle
